race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_和歌山_3R,20260809,55,和歌山,3,3,015282,7,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,4,014109,8,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,2,015697,9,NORMAL,,1-6-5,1280,2
20260809_和歌山_4R,20260809,55,和歌山,4,1,014259,1,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,2,013514,2,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,5,015546,3,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,6,014712,4,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,4,013990,5,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,8,014983,6,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,7,014143,7,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,9,014506,8,NORMAL,,1-2-5,1990,4
20260809_和歌山_4R,20260809,55,和歌山,4,3,015289,9,NORMAL,,1-2-5,1990,4
20260809_和歌山_5R,20260809,55,和歌山,5,3,015211,1,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,5,014327,2,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,4,014450,3,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,6,015118,4,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,8,015643,5,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,7,014041,6,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,9,014806,7,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,2,014580,8,NORMAL,,3-5-4,63640,167
20260809_和歌山_5R,20260809,55,和歌山,5,1,013855,9,NORMAL,,3-5-4,63640,167
20260809_和歌山_6R,20260809,55,和歌山,6,4,014677,1,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,6,013744,2,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,2,015066,3,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,7,013628,4,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,3,014184,5,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,9,014174,6,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,5,015716,7,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,1,013862,8,NORMAL,,4-6-2,5870,17
20260809_和歌山_6R,20260809,55,和歌山,6,8,015198,9,NORMAL,,4-6-2,5870,17
20260809_和歌山_7R,20260809,55,和歌山,7,7,015381,1,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,5,014253,2,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,9,014421,3,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,3,015014,4,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,4,015370,5,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,1,014485,6,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,2,013533,7,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,6,015687,8,NORMAL,,7-5-9,10300,37
20260809_和歌山_7R,20260809,55,和歌山,7,8,013804,9,NORMAL,,7-5-9,10300,37
20260809_和歌山_8R,20260809,55,和歌山,8,6,014889,1,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,4,012987,2,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,7,013921,3,NORMAL,,6-4-7,125480,240
