レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260717_高知_10R,20260717,高知,10,9,014534,2,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,8,015474,3,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,3,015298,4,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,7,015341,5,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,4,015451,6,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,5,015343,7,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,6,015362,8,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_10R,20260717,高知,10,2,013962,,失格,過失走行,1-9-8,11450,(35),10000_TO_19999,0,0
20260717_高知_11R,20260717,高知,11,2,015039,1,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,5,015553,2,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,8,015261,3,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,1,014681,4,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,7,015242,5,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,6,015527,6,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,9,014564,7,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,4,013904,8,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_11R,20260717,高知,11,3,015779,9,NORMAL,,2-5-8,35680,(83),20000_TO_49999,1,0
20260717_高知_12R,20260717,高知,12,5,014396,1,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,1,014838,2,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,4,015465,3,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,3,015037,4,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,9,015035,5,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,6,014140,6,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,2,015034,7,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,7,014129,8,NORMAL,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_高知_12R,20260717,高知,12,8,015203,,落車棄権,,5-1-4,5480,(11),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,7,013465,1,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,3,015699,2,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,5,013792,3,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,6,014079,4,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,1,013506,5,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,2,013121,6,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_1R,20260717,松阪,1,4,013738,7,NORMAL,,7-3-5,1690,(3),UNDER_10000,0,0
20260717_松阪_2R,20260717,松阪,2,3,014115,1,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,5,014155,2,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,2,013484,3,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,7,015659,4,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,6,013784,5,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,4,015175,6,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_2R,20260717,松阪,2,1,013172,7,NORMAL,,3-5-2,51820,(95),50000_PLUS,1,1
20260717_松阪_3R,20260717,松阪,3,6,015904,1,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,1,015462,2,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,7,014263,3,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,3,014495,4,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,2,015348,5,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,5,013117,6,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_3R,20260717,松阪,3,4,014654,7,NORMAL,,6-1-7,6640,(23),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,2,015685,1,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,4,015737,2,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,7,013914,3,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,3,015483,4,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,6,014476,5,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,5,013907,6,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_4R,20260717,松阪,4,1,014949,7,NORMAL,,2-4-7,6960,(18),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,3,015875,1,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,5,014819,2,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,7,015545,3,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,4,014473,4,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,2,012452,5,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,1,014332,6,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_5R,20260717,松阪,5,6,014951,7,NORMAL,,3-5-7,540,(1),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,7,014249,1,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,4,014264,2,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,3,015543,3,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,5,014863,4,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,1,013944,5,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
