feature,importance
L5_P2_term,22
L3_P3_back_count,22
session,22
L3_P4_line_trio_rate_diff_top,22
L5_P1_trio_rate_rank,22
L3_P4_line_score_diff_top,22
L7_P1_back_count,22
L6_P1_quinella_rate,22
L2_P4_win_rate_diff_top,21
L3_P3_makuri_count,21
L3_P2_class,21
L1_P3_previous_class,21
L1_P4_win_rate_rank,21
L7_P1_quinella_rate,21
L4_P2_quinella_rate_rank,21
L4_P2_trio_rate_rank,20
L3_P2_line_quinella_rate_rank,20
L3_P1_line_quinella_rate_rank,20
L7_P1_start_count,20
L4_P3_trio_rate_diff_top,20
L1_P2_previous_class,20
L5_P2_quinella_rate_diff_top,20
L3_P1_style_両,20
L3_P1_previous_class,20
L3_P1_line_win_rate_rank,20
L5_P2_score_diff_top,20
L4_P3_trio_rate,19
L3_P2_line_win_rate_rank,19
L3_P3_quinella_rate_rank,19
L1_P2_line_win_rate_rank,19
L3_P2_line_trio_rate_rank,19
L6_P1_start_count,19
L6_P1_mark_count,18
L2_P2_previous_class,18
L2_P3_makuri_count,18
L1_P4_quinella_rate,18
L5_P2_average_score,18
L1_P3_makuri_count,17
L2_P1_style_両,17
L2_P3_line_quinella_rate_rank,17
L4_P2_style_追,17
L2_P4_line_quinella_rate_diff_top,17
L1_P4_mark_count,17
L5_P2_makuri_count,17
L1_P4_age,17
L2_P3_class,16
L1_P4_class,16
L1_P2_line_trio_rate_rank,16
L6_P1_makuri_count,16
L3_P4_average_score,16
L4_P1_previous_class,16
bank_type,16
L4_P1_line_quinella_rate_diff_top,16
L7_P1_sashi_count,16
L3_P4_quinella_rate_diff_top,16
L7_P1_quinella_rate_rank,16
L1_P1_style_追,15
L1_P1_line_quinella_rate_rank,15
L6_P1_trio_rate_rank,15
L1_P3_line_win_rate_rank,15
L3_P2_style_追,15
L4_P2_back_count,15
L4_P3_age,15
L4_P3_line_score_diff_top,15
L4_P3_line_win_rate_diff_top,15
L1_P2_line_quinella_rate_rank,15
L2_P4_quinella_rate_diff_top,15
L1_P2_style_両,15
L3_P1_style_追,14
L4_P1_style_両,14
L4_P2_win_rate_rank,14
L5_P1_escape_count,14
L7_P1_win_rate,14
L3_P2_escape_count,14
L1_P3_class,14
L3_P4_line_trio_rate_rank,14
L2_P3_previous_class,14
L1_P1_style_両,14
L2_P4_term,13
L4_P3_start_count,13
L3_P4_line_quinella_rate_diff_top,13
L1_P2_style_追,13
L5_P2_start_count,13
L2_P2_line_trio_rate_rank,13
L7_P1_score_rank,13
L5_P1_makuri_count,13
L5_P1_score_rank,13
L4_P2_home_count,13
L3_P2_style_逃,13
L2_P4_trio_rate_diff_top,13
L4_P1_line_trio_rate_rank,13
L6_P1_win_rate_rank,13
L1_P4_back_count,12
L3_P4_trio_rate,12
L2_P1_class,12
L5_P2_line_win_rate_diff_top,12
L3_P4_mark_count,12
L3_P3_home_count,12
L4_P3_score_diff_top,12
L4_P3_quinella_rate_rank,12
L1_P1_style_逃,12
L1_P4_line_quinella_rate_rank,12
L3_P3_previous_class,12
L3_P2_line_score_rank,12
L2_P2_line_win_rate_rank,12
L4_P1_style_追,12
L4_P3_trio_rate_rank,11
L2_P3_line_score_rank,11
L2_P2_style_追,11
L1_P2_line_score_rank,11
L3_P3_line_win_rate_rank,11
L2_P3_home_count,11
L2_P2_class,11
L1_P3_line_quinella_rate_rank,11
L6_P1_back_count,11
L1_P1_class,11
L2_P2_line_score_rank,11
L3_P1_line_score_rank,11
L4_P3_quinella_rate,11
L3_P4_start_count,11
L4_P3_term,11
L2_P2_escape_count,10
L2_P4_line_trio_rate_diff_top,10
L1_P4_makuri_count,10
L6_P1_quinella_rate_rank,10
L3_P1_class,10
L2_P1_line_quinella_rate_rank,10
L1_P4_score_rank,10
L3_P4_age,10
L3_P3_class,9
L4_P2_makuri_count,9
L1_P1_line_score_rank,9
L1_P4_line_win_rate_rank,9
L1_P2_class,9
L4_P3_mark_count,9
L3_P1_line_trio_rate_rank,9
L5_P3_quinella_rate_rank,9
L5_P1_line_score_diff_top,9
L2_P4_win_rate_rank,9
L6_P1_sashi_count,9
L1_P5_quinella_rate_diff_top,9
L4_P2_style_両,9
L1_P4_previous_class,8
L4_P3_win_rate_rank,8
L2_P1_line_trio_rate_rank,8
L1_P5_line_win_rate_diff_top,8
L2_P5_line_score_diff_top,8
L2_P3_line_win_rate_rank,8
L5_P2_win_rate,8
L5_P2_trio_rate,8
