race_key,date,jo_code,jo_name,race_no,car_no,line_no,line_position,is_seri
20260915_大宮_10R,20260915,25,大宮,10,6,2,1,0
20260915_大宮_10R,20260915,25,大宮,10,7,3,2,0
20260915_大宮_10R,20260915,25,大宮,10,8,,,0
20260915_大宮_10R,20260915,25,大宮,10,9,,,0
20260915_大宮_11R,20260915,25,大宮,11,1,1,2,0
20260915_大宮_11R,20260915,25,大宮,11,2,2,2,0
20260915_大宮_11R,20260915,25,大宮,11,3,3,1,0
20260915_大宮_11R,20260915,25,大宮,11,4,1,3,0
20260915_大宮_11R,20260915,25,大宮,11,5,3,2,0
20260915_大宮_11R,20260915,25,大宮,11,6,2,1,0
20260915_大宮_11R,20260915,25,大宮,11,7,1,1,0
20260915_大宮_11R,20260915,25,大宮,11,8,,,0
20260915_大宮_11R,20260915,25,大宮,11,9,,,0
20260915_大宮_12R,20260915,25,大宮,12,1,1,1,0
20260915_大宮_12R,20260915,25,大宮,12,2,2,1,0
20260915_大宮_12R,20260915,25,大宮,12,3,3,1,0
20260915_大宮_12R,20260915,25,大宮,12,4,1,2,0
20260915_大宮_12R,20260915,25,大宮,12,5,4,2,0
20260915_大宮_12R,20260915,25,大宮,12,6,4,1,0
20260915_大宮_12R,20260915,25,大宮,12,7,3,2,0
20260915_大宮_12R,20260915,25,大宮,12,8,,,0
20260915_大宮_12R,20260915,25,大宮,12,9,,,0
20260915_大宮_1R,20260915,25,大宮,1,1,1,2,0
20260915_大宮_1R,20260915,25,大宮,1,2,2,1,0
20260915_大宮_1R,20260915,25,大宮,1,3,3,1,0
20260915_大宮_1R,20260915,25,大宮,1,4,3,2,0
20260915_大宮_1R,20260915,25,大宮,1,5,3,3,0
20260915_大宮_1R,20260915,25,大宮,1,6,1,1,0
20260915_大宮_1R,20260915,25,大宮,1,7,2,2,0
20260915_大宮_1R,20260915,25,大宮,1,8,,,0
20260915_大宮_1R,20260915,25,大宮,1,9,,,0
20260915_大宮_2R,20260915,25,大宮,2,1,1,1,0
20260915_大宮_2R,20260915,25,大宮,2,2,2,1,0
20260915_大宮_2R,20260915,25,大宮,2,3,3,1,0
20260915_大宮_2R,20260915,25,大宮,2,4,1,3,0
20260915_大宮_2R,20260915,25,大宮,2,5,2,2,0
20260915_大宮_2R,20260915,25,大宮,2,6,3,2,0
20260915_大宮_2R,20260915,25,大宮,2,7,1,2,0
20260915_大宮_2R,20260915,25,大宮,2,8,,,0
20260915_大宮_2R,20260915,25,大宮,2,9,,,0
20260915_大宮_3R,20260915,25,大宮,3,1,1,2,0
20260915_大宮_3R,20260915,25,大宮,3,2,2,1,0
20260915_大宮_3R,20260915,25,大宮,3,3,3,1,0
20260915_大宮_3R,20260915,25,大宮,3,4,1,3,0
20260915_大宮_3R,20260915,25,大宮,3,5,1,1,0
20260915_大宮_3R,20260915,25,大宮,3,6,3,2,0
20260915_大宮_3R,20260915,25,大宮,3,7,2,2,0
20260915_大宮_3R,20260915,25,大宮,3,8,,,0
20260915_大宮_3R,20260915,25,大宮,3,9,,,0
20260915_大宮_4R,20260915,25,大宮,4,1,2,2,0
20260915_大宮_4R,20260915,25,大宮,4,2,1,1,0
20260915_大宮_4R,20260915,25,大宮,4,3,3,1,0
20260915_大宮_4R,20260915,25,大宮,4,4,2,1,0
20260915_大宮_4R,20260915,25,大宮,4,5,1,3,0
20260915_大宮_4R,20260915,25,大宮,4,6,2,3,0
20260915_大宮_4R,20260915,25,大宮,4,7,1,2,0
20260915_大宮_4R,20260915,25,大宮,4,8,,,0
20260915_大宮_4R,20260915,25,大宮,4,9,,,0
20260915_大宮_5R,20260915,25,大宮,5,1,1,2,0
20260915_大宮_5R,20260915,25,大宮,5,2,4,2,0
20260915_大宮_5R,20260915,25,大宮,5,3,2,2,0
20260915_大宮_5R,20260915,25,大宮,5,4,2,1,0
20260915_大宮_5R,20260915,25,大宮,5,5,3,1,0
20260915_大宮_5R,20260915,25,大宮,5,6,4,1,0
20260915_大宮_5R,20260915,25,大宮,5,7,1,1,0
20260915_大宮_5R,20260915,25,大宮,5,8,,,0
20260915_大宮_5R,20260915,25,大宮,5,9,,,0
20260915_大宮_6R,20260915,25,大宮,6,1,1,3,0
20260915_大宮_6R,20260915,25,大宮,6,2,2,2,0
20260915_大宮_6R,20260915,25,大宮,6,3,3,2,0
20260915_大宮_6R,20260915,25,大宮,6,4,1,2,0
20260915_大宮_6R,20260915,25,大宮,6,5,1,1,0
20260915_大宮_6R,20260915,25,大宮,6,6,3,1,0
20260915_大宮_6R,20260915,25,大宮,6,7,2,1,0
20260915_大宮_6R,20260915,25,大宮,6,8,,,0
20260915_大宮_6R,20260915,25,大宮,6,9,,,0
20260915_大宮_7R,20260915,25,大宮,7,1,1,3,0
20260915_大宮_7R,20260915,25,大宮,7,2,2,2,0
20260915_大宮_7R,20260915,25,大宮,7,3,2,1,0
20260915_大宮_7R,20260915,25,大宮,7,4,1,1,0
20260915_大宮_7R,20260915,25,大宮,7,5,1,2,0
20260915_大宮_7R,20260915,25,大宮,7,6,3,1,0
20260915_大宮_7R,20260915,25,大宮,7,7,2,3,0
20260915_大宮_7R,20260915,25,大宮,7,8,,,0
20260915_大宮_7R,20260915,25,大宮,7,9,,,0
20260915_大宮_8R,20260915,25,大宮,8,1,1,1,0
20260915_大宮_8R,20260915,25,大宮,8,2,2,1,0
