transformed_feature,original_feature,importance
p7_class_S2,p7_class,0.0008078566372476997
p2_previous_class_A3,p2_previous_class,0.0008050808361650076
p9_home_count,p9_home_count,0.0008038603411735625
p8_makuri_count,p8_makuri_count,0.0007925595372365401
p9_back_count,p9_back_count,0.0007865972199826077
p4_prefecture_愛 知,p4_prefecture,0.0007817960240610188
p5_class_A1,p5_class,0.0007679467373397955
p1_class_A2,p1_class,0.0007437669865927648
p1_class_S1,p1_class,0.0007434022617435154
p9_recent_finish_2,p9_recent_finish_2,0.0007406763064254998
p4_previous_class_A3,p4_previous_class,0.000730986612599711
p9_makuri_count,p9_makuri_count,0.0007298548978392111
p5_prefecture_大 阪,p5_prefecture,0.0007147460263582772
p6_prefecture_愛 知,p6_prefecture,0.0007111127002264109
p5_prefecture_埼 玉,p5_prefecture,0.0007037439525320222
p9_recent_finish_1,p9_recent_finish_1,0.0006956268490963343
p2_prefecture_埼 玉,p2_prefecture,0.0006949016029652718
p4_previous_class_S2,p4_previous_class,0.0006926491938880707
p5_previous_class_A3,p5_previous_class,0.0006904441153641882
p6_class_A2,p6_class,0.0006900785946391816
p7_prefecture_岡 山,p7_prefecture,0.0006845488916465659
p7_previous_class_A3,p7_previous_class,0.0006806053438423958
p8_recent_finish_2,p8_recent_finish_2,0.000666489101412259
p9_class_S1,p9_class,0.0006643273484954232
p3_class_S2,p3_class,0.000660691562332232
p1_prefecture_岡 山,p1_prefecture,0.0006574481174705363
p5_prefecture_愛 知,p5_prefecture,0.0006516952988245502
p3_previous_class_A3,p3_previous_class,0.0006354724539924375
p7_class_S1,p7_class,0.0006295151677983978
p4_class_S2,p4_class,0.000627461105681936
p3_prefecture_静 岡,p3_prefecture,0.0006215262847341399
p1_prefecture_静 岡,p1_prefecture,0.0006198684448190749
p3_prefecture_福 岡,p3_prefecture,0.0006170260379035601
p6_class_S2,p6_class,0.0006118372158989243
p2_class_A3,p2_class,0.0006007627807829668
p1_class_S2,p1_class,0.0005993796346564382
p7_previous_class_S1,p7_previous_class,0.0005963097868709295
p7_prefecture_福 岡,p7_prefecture,0.0005854371095955507
p5_prefecture_栃 木,p5_prefecture,0.0005788396860333071
p6_class_A1,p6_class,0.0005727095083201106
p4_previous_class_S1,p4_previous_class,0.0005699872672240582
p3_class_A3,p3_class,0.0005660895183012614
p5_prefecture_静 岡,p5_prefecture,0.0005637917728240939
p6_prefecture_群 馬,p6_prefecture,0.0005626419476636402
p1_prefecture_東 京,p1_prefecture,0.0005608003275518101
p9_mark_count,p9_mark_count,0.0005559095624316869
p5_prefecture_千 葉,p5_prefecture,0.0005496783698530853
p7_prefecture_神奈川,p7_prefecture,0.0005454712411598747
p1_prefecture_福 岡,p1_prefecture,0.0005383197445995371
p4_prefecture_福 岡,p4_prefecture,0.0005376153417647125
p5_class_S2,p5_class,0.000536245495717915
p6_prefecture_静 岡,p6_prefecture,0.0005230600646707142
p3_prefecture_愛 知,p3_prefecture,0.0005148793236787574
