transformed_feature,original_feature,coefficient,absolute_coefficient,direction
p9_prefecture_岡 山,p9_prefecture,0.1655220792037588,0.1655220792037588,HIGH_RISK
p2_riding_style_両,p2_riding_style,-0.16349836176363497,0.16349836176363497,LOW_RISK
p3_riding_style_両,p3_riding_style,-0.16209979785858547,0.16209979785858547,LOW_RISK
p4_prefecture_熊 本,p4_prefecture,0.16193327782606048,0.16193327782606048,HIGH_RISK
p8_prefecture_大 分,p8_prefecture,-0.16078752981607397,0.16078752981607397,LOW_RISK
p8_prefecture_青 森,p8_prefecture,-0.1597073407820068,0.1597073407820068,LOW_RISK
p8_top2_rate,p8_top2_rate,0.1586976047216229,0.1586976047216229,HIGH_RISK
p6_prefecture_静 岡,p6_prefecture,-0.15772598210832403,0.15772598210832403,LOW_RISK
p6_sashi_count,p6_sashi_count,0.15722017586775355,0.15722017586775355,HIGH_RISK
p2_prefecture_北海道,p2_prefecture,-0.15579770728105524,0.15579770728105524,LOW_RISK
p6_nige_count,p6_nige_count,-0.1545925731836468,0.1545925731836468,LOW_RISK
p4_prefecture_青 森,p4_prefecture,-0.15420743962775596,0.15420743962775596,LOW_RISK
p9_recent_finish_3,p9_recent_finish_3,-0.15373190370726172,0.15373190370726172,LOW_RISK
p8_prefecture_和歌山,p8_prefecture,-0.15350092674253826,0.15350092674253826,LOW_RISK
p1_previous_class_SS,p1_previous_class,-0.15079469866436215,0.15079469866436215,LOW_RISK
p1_class_SS,p1_class,-0.15079469866436215,0.15079469866436215,LOW_RISK
p5_previous_class_A2,p5_previous_class,-0.14952015392378845,0.14952015392378845,LOW_RISK
p7_recent_finish_1,p7_recent_finish_1,0.14941000847506208,0.14941000847506208,HIGH_RISK
p5_class_A2,p5_class,0.14874720077206416,0.14874720077206416,HIGH_RISK
p5_riding_style_逃,p5_riding_style,0.1478955672700402,0.1478955672700402,HIGH_RISK
p7_prefecture_三 重,p7_prefecture,-0.1468813233734911,0.1468813233734911,LOW_RISK
p3_previous_class___MISSING__,p3_previous_class,0.14625654620013334,0.14625654620013334,HIGH_RISK
p5_prefecture_ニュー,p5_prefecture,-0.14391126763891504,0.14391126763891504,LOW_RISK
p5_riding_style_両,p5_riding_style,-0.14359286524218862,0.14359286524218862,LOW_RISK
p6_home_count,p6_home_count,0.14241458727194767,0.14241458727194767,HIGH_RISK
p7_previous_class_SS,p7_previous_class,-0.14238873951023873,0.14238873951023873,LOW_RISK
p7_class_SS,p7_class,-0.14238873951023873,0.14238873951023873,LOW_RISK
p3_back_count,p3_back_count,-0.14113712773286588,0.14113712773286588,LOW_RISK
p4_prefecture_福 島,p4_prefecture,-0.1411008322331647,0.1411008322331647,LOW_RISK
p4_prefecture_長 崎,p4_prefecture,-0.14080936923860454,0.14080936923860454,LOW_RISK
p8_prefecture_徳 島,p8_prefecture,0.14022630987975507,0.14022630987975507,HIGH_RISK
p4_riding_style_追,p4_riding_style,-0.1390691716363516,0.1390691716363516,LOW_RISK
p9_prefecture_和歌山,p9_prefecture,-0.13837502328883117,0.13837502328883117,LOW_RISK
p2_prefecture_東 京,p2_prefecture,0.13651863747978268,0.13651863747978268,HIGH_RISK
p4_prefecture_栃 木,p4_prefecture,-0.13479776876281618,0.13479776876281618,LOW_RISK
p2_mark_count,p2_mark_count,0.1347695180182688,0.1347695180182688,HIGH_RISK
p6_prefecture_大 分,p6_prefecture,0.13232329863216077,0.13232329863216077,HIGH_RISK
p9_riding_style_追,p9_riding_style,0.13176085845800836,0.13176085845800836,HIGH_RISK
p6_prefecture_秋 田,p6_prefecture,-0.13069372410457447,0.13069372410457447,LOW_RISK
p6_prefecture_北海道,p6_prefecture,-0.12925418117875664,0.12925418117875664,LOW_RISK
p9_top2_rate,p9_top2_rate,0.1289844604670943,0.1289844604670943,HIGH_RISK
p8_prefecture_富 山,p8_prefecture,0.12884877224661237,0.12884877224661237,HIGH_RISK
p5_prefecture_石 川,p5_prefecture,-0.1275550949186433,0.1275550949186433,LOW_RISK
p4_prefecture_富 山,p4_prefecture,0.12741279623823965,0.12741279623823965,HIGH_RISK
p7_previous_class_A3,p7_previous_class,0.1257200247207289,0.1257200247207289,HIGH_RISK
p4_prefecture_宮 城,p4_prefecture,-0.12562278660585358,0.12562278660585358,LOW_RISK
p6_riding_style_両,p6_riding_style,0.12379339880594223,0.12379339880594223,HIGH_RISK
p2_prefecture_福 岡,p2_prefecture,0.1237864711192427,0.1237864711192427,HIGH_RISK
p1_prefecture_福 岡,p1_prefecture,-0.12148272028252602,0.12148272028252602,LOW_RISK
p7_class_A1,p7_class,0.12030788939721801,0.12030788939721801,HIGH_RISK
p4_previous_class_A1,p4_previous_class,-0.11970718822347888,0.11970718822347888,LOW_RISK
p5_previous_class_L1,p5_previous_class,0.1173050400985665,0.1173050400985665,HIGH_RISK
p6_prefecture_宮 城,p6_prefecture,-0.11692226661371251,0.11692226661371251,LOW_RISK
p2_prefecture_長 崎,p2_prefecture,-0.11689223416648213,0.11689223416648213,LOW_RISK
p8_prefecture___MISSING__,p8_prefecture,-0.1156480918357256,0.1156480918357256,LOW_RISK
p8_previous_class___MISSING__,p8_previous_class,-0.1156480918357256,0.1156480918357256,LOW_RISK
p8_class___MISSING__,p8_class,-0.1156480918357256,0.1156480918357256,LOW_RISK
p8_riding_style___MISSING__,p8_riding_style,-0.1156480918357256,0.1156480918357256,LOW_RISK
p1_recent_finish_1,p1_recent_finish_1,0.11404343972002308,0.11404343972002308,HIGH_RISK
p7_recent_finish_3,p7_recent_finish_3,0.11227963833284883,0.11227963833284883,HIGH_RISK
p7_prefecture_山 形,p7_prefecture,-0.11227578761527064,0.11227578761527064,LOW_RISK
p1_class_A2,p1_class,-0.11085573617443528,0.11085573617443528,LOW_RISK
p6_recent_finish_2,p6_recent_finish_2,-0.11014046053117124,0.11014046053117124,LOW_RISK
p8_recent_finish_3,p8_recent_finish_3,0.11000949641741631,0.11000949641741631,HIGH_RISK
p3_prefecture_千 葉,p3_prefecture,-0.10991977000422946,0.10991977000422946,LOW_RISK
p5_prefecture_埼 玉,p5_prefecture,0.1096651579310874,0.1096651579310874,HIGH_RISK
p4_prefecture_石 川,p4_prefecture,-0.10934564100332382,0.10934564100332382,LOW_RISK
p6_riding_style_逃,p6_riding_style,-0.1091903371305969,0.1091903371305969,LOW_RISK
p7_prefecture_和歌山,p7_prefecture,-0.1090089705944145,0.1090089705944145,LOW_RISK
p7_sashi_count,p7_sashi_count,-0.10894697543440418,0.10894697543440418,LOW_RISK
p9_prefecture_京 都,p9_prefecture,0.1084780183199836,0.1084780183199836,HIGH_RISK
p4_recent_finish_3,p4_recent_finish_3,0.10783783227479043,0.10783783227479043,HIGH_RISK
p5_back_count,p5_back_count,0.1064597986882873,0.1064597986882873,HIGH_RISK
p8_prefecture_北海道,p8_prefecture,-0.10162277507240408,0.10162277507240408,LOW_RISK
p9_prefecture_鹿児島,p9_prefecture,-0.09994453945736397,0.09994453945736397,LOW_RISK
p1_prefecture_福 井,p1_prefecture,-0.099799998655592,0.099799998655592,LOW_RISK
p2_previous_class_A2,p2_previous_class,-0.09846223767188156,0.09846223767188156,LOW_RISK
p3_prefecture_宮 城,p3_prefecture,0.09841204157716689,0.09841204157716689,HIGH_RISK
p8_prefecture_石 川,p8_prefecture,-0.09786544280740012,0.09786544280740012,LOW_RISK
p2_recent_finish_3,p2_recent_finish_3,-0.09722100761764019,0.09722100761764019,LOW_RISK
p5_previous_class_S1,p5_previous_class,-0.0969857285009211,0.0969857285009211,LOW_RISK
p9_prefecture_滋 賀,p9_prefecture,-0.09631342153898909,0.09631342153898909,LOW_RISK
p5_prefecture_オラン,p5_prefecture,-0.09551226239320486,0.09551226239320486,LOW_RISK
p6_prefecture_富 山,p6_prefecture,-0.09478915991611854,0.09478915991611854,LOW_RISK
p5_prefecture_長 崎,p5_prefecture,0.09345468062569073,0.09345468062569073,HIGH_RISK
p8_class_S1,p8_class,0.09239681474879649,0.09239681474879649,HIGH_RISK
p5_prefecture_福 井,p5_prefecture,-0.0922214073284022,0.0922214073284022,LOW_RISK
p3_prefecture_ニュー,p3_prefecture,-0.09189901709873997,0.09189901709873997,LOW_RISK
p3_class_A1,p3_class,-0.09149172906005858,0.09149172906005858,LOW_RISK
p9_age,p9_age,0.0909645687264961,0.0909645687264961,HIGH_RISK
p3_prefecture_福 岡,p3_prefecture,-0.09094399405744621,0.09094399405744621,LOW_RISK
p7_prefecture_石 川,p7_prefecture,0.0898220692187626,0.0898220692187626,HIGH_RISK
p1_previous_class_L1,p1_previous_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p1_class_L1,p1_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p2_class_L1,p2_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p3_class_L1,p3_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p4_class_L1,p4_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p5_class_L1,p5_class,-0.08851257946584888,0.08851257946584888,LOW_RISK
p3_prefecture_北海道,p3_prefecture,-0.08806437354236445,0.08806437354236445,LOW_RISK
p4_previous_class_S2,p4_previous_class,0.08790762865698004,0.08790762865698004,HIGH_RISK
p3_prefecture_福 島,p3_prefecture,-0.0878850078833924,0.0878850078833924,LOW_RISK
p3_prefecture_熊 本,p3_prefecture,-0.08665345069529927,0.08665345069529927,LOW_RISK
p7_prefecture_茨 城,p7_prefecture,0.0859236285311824,0.0859236285311824,HIGH_RISK
p6_prefecture_滋 賀,p6_prefecture,-0.08414536943738228,0.08414536943738228,LOW_RISK
p3_prefecture_岐 阜,p3_prefecture,-0.08356833047238107,0.08356833047238107,LOW_RISK
p8_recent_finish_2,p8_recent_finish_2,0.08312329603418897,0.08312329603418897,HIGH_RISK
p7_previous_class_A1,p7_previous_class,0.08224930262062859,0.08224930262062859,HIGH_RISK
p4_back_count,p4_back_count,0.08199305414359372,0.08199305414359372,HIGH_RISK
p7_class_S1,p7_class,-0.08189316463031333,0.08189316463031333,LOW_RISK
p8_prefecture_京 都,p8_prefecture,-0.08151420409418236,0.08151420409418236,LOW_RISK
p1_riding_style_追,p1_riding_style,-0.07968619074617536,0.07968619074617536,LOW_RISK
p2_prefecture_新 潟,p2_prefecture,0.07948792611058765,0.07948792611058765,HIGH_RISK
p4_prefecture_滋 賀,p4_prefecture,-0.07900521403231867,0.07900521403231867,LOW_RISK
p1_riding_style_逃,p1_riding_style,-0.07834559623658087,0.07834559623658087,LOW_RISK
p5_recent_finish_2,p5_recent_finish_2,-0.07718904096187948,0.07718904096187948,LOW_RISK
p6_previous_class_A1,p6_previous_class,0.07701381285765616,0.07701381285765616,HIGH_RISK
p3_previous_class_A1,p3_previous_class,-0.07700343268206365,0.07700343268206365,LOW_RISK
p9_start_count,p9_start_count,0.07584357347707564,0.07584357347707564,HIGH_RISK
p3_sashi_count,p3_sashi_count,0.07522018212474932,0.07522018212474932,HIGH_RISK
p4_previous_class_S1,p4_previous_class,-0.0745291091801405,0.0745291091801405,LOW_RISK
p7_riding_style_両,p7_riding_style,0.07434998597708638,0.07434998597708638,HIGH_RISK
p1_sashi_count,p1_sashi_count,0.07249674546521039,0.07249674546521039,HIGH_RISK
p6_class_A1,p6_class,-0.07248994536773797,0.07248994536773797,LOW_RISK
p7_previous_class_L1,p7_previous_class,0.07227671116502511,0.07227671116502511,HIGH_RISK
p7_class_L1,p7_class,0.07227671116502511,0.07227671116502511,HIGH_RISK
p9_prefecture___MISSING__,p9_prefecture,0.07117729087548075,0.07117729087548075,HIGH_RISK
p9_previous_class___MISSING__,p9_previous_class,0.07117729087548075,0.07117729087548075,HIGH_RISK
p9_class___MISSING__,p9_class,0.07117729087548075,0.07117729087548075,HIGH_RISK
p9_riding_style___MISSING__,p9_riding_style,0.07117729087548075,0.07117729087548075,HIGH_RISK
p8_top3_rate,p8_top3_rate,-0.07054209976662174,0.07054209976662174,LOW_RISK
p9_prefecture_埼 玉,p9_prefecture,-0.06958546456248355,0.06958546456248355,LOW_RISK
p4_previous_class_A3,p4_previous_class,-0.06949484662390037,0.06949484662390037,LOW_RISK
p1_prefecture_岐 阜,p1_prefecture,0.06912545068920894,0.06912545068920894,HIGH_RISK
