original_feature,logistic_abs_coefficient_sum,logistic_signed_coefficient_sum,logistic_expanded_feature_count,random_forest_importance_sum,random_forest_expanded_feature_count,logistic_normalized,random_forest_normalized,combined_score,combined_rank
p7_makuri_count,0.017530691131470207,0.017530691131470207,1,0.0041151452163411305,1,0.0006912310901953827,0.28959092614921667,0.14514107861970602,130
p4_riding_style,0.41566875672838477,0.025650001626274246,3,0.0037863698349467137,3,0.016389722784958132,0.26645435084319996,0.14142203681407906,131
p6_riding_style,0.3271147036175137,0.02565000162597561,4,0.0038138698251672827,4,0.012898056985019201,0.2683895796670687,0.14064381832604397,132
p8_previous_class,1.8031475318474395,0.025650001628385138,5,0.0029797590172979285,5,0.07109768946784761,0.20969154869533885,0.14039461908159323,133
p6_mark_count,0.019101173235442012,0.019101173235442012,1,0.0039544111033246185,1,0.0007531548357408173,0.2782797479999287,0.13951645141783478,134
p2_riding_style,1.0117556333566071,0.025650001625299956,3,0.0033792530729159077,3,0.03989329024233148,0.23780473728905263,0.13884901376569206,135
p6_class,1.7882330253972947,0.02565000162699796,7,0.0029168571943098067,7,0.07050961393357774,0.20526502272408761,0.13788731832883266,136
p2_nige_count,0.015515533766381179,0.015515533766381179,1,0.0038676999101331148,1,0.0006117739021165162,0.2721777094511755,0.136394741676646,137
p1_riding_style,0.34171357559058163,0.025650001625069155,3,0.0036603132683081896,3,0.013473687124977082,0.25758350037233907,0.13552859374865808,138
p1_nige_count,0.00694785526650892,0.00694785526650892,1,0.003826358412015458,1,0.0002739523236347114,0.26926842627916314,0.13477118930139892,139
p7_mark_count,0.06145768654774448,-0.06145768654774448,1,0.0037355286469035252,1,0.0024232623434351057,0.2628765556603014,0.13264990900186824,140
p4_nige_count,0.04990481145824107,-0.04990481145824107,1,0.0035283967220472567,1,0.0019677351549677335,0.2483002715194638,0.12513400333721578,141
p8_class,0.6008966187209699,0.02565000162636792,4,0.0031295394138545255,4,0.023693214473876893,0.22023189210426175,0.12196255328906933,142
p7_nige_count,0.24601399418957992,-0.24601399418957992,1,0.0029847709839831912,1,0.009700274799874502,0.21004425072598668,0.10987226276293059,143
p9_previous_class,1.6648502607360813,0.025650001626233584,6,0.002149767623580431,6,0.06564466010554584,0.15128340906321258,0.10846403458437921,144
player_count,0.5924776363575367,0.5924776363575367,1,0.0026231631646400785,1,0.023361255949608285,0.18459719167919122,0.10397922381439975,145
p6_nige_count,0.1545925731836468,-0.1545925731836468,1,0.0028170273683721728,1,0.0060955493480809465,0.19823979998448796,0.10216767466628446,146
p9_riding_style,1.1320419402704558,0.02565000162696282,4,0.0022502921157114683,4,0.04463615145870287,0.15835751683984894,0.1014968341492759,147
p9_class,1.4623238549990534,0.02565000162412931,5,0.0019290485548989623,5,0.05765909084412347,0.13575097067818512,0.09670503076115429,148
p8_top2_rate,0.1586976047216229,0.1586976047216229,1,0.002592641257729916,1,0.006257409790661437,0.18244930458766034,0.0943533571891609,149
p8_race_score,0.5513982408015426,-0.5513982408015426,1,0.0020862838107748773,1,0.021741504899191154,0.1468159273148553,0.08427871610702323,150
p9_top2_rate,0.1289844604670943,0.1289844604670943,1,0.0021405129068670413,1,0.005085827395982169,0.15063213630286462,0.0778589818494234,151
p6_makuri_count,0.0030834813566520338,0.0030834813566520338,1,0.002162820553681562,1,0.00012158095558078397,0.15220196962869084,0.07616177529213582,152
p9_race_score,0.18651117490900015,0.18651117490900015,1,0.0018700548305683577,1,0.007354092419923768,0.13159946535631917,0.06947677888812147,153
p8_top3_rate,0.07054209976662174,-0.07054209976662174,1,0.0017506986875100421,1,0.002781458652181733,0.12320013697475891,0.06299079781347032,154
p8_graduation_term,0.05321695433952651,0.05321695433952651,1,0.0017545804322430553,1,0.002098332181493624,0.1234733030462366,0.06278581761386512,155
p9_sashi_count,0.23388591057359565,0.23388591057359565,1,0.0016245288947288397,1,0.009222067272459437,0.11432131855579444,0.061771692914126944,156
p8_age,0.06733973747393482,0.06733973747393482,1,0.0016889859601888428,1,0.0026551902488327708,0.1188572900226822,0.060756240135757485,157
