レースキー,開催日,競輪場コード,競輪場名,開催名,グレード,レース番号,周長(m),みなし直線(m),カント角(度),レース種別,距離,周回数,発走時刻,投票締切,天候,風速
20260715_玉野_2R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,2,400,47.9,30.6258,Ａ級一般,1625,4,11:09,11:06,曇,1.8
20260715_玉野_3R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,3,400,47.9,30.6258,Ａ級準決勝,1625,4,11:34,11:31,曇,2.7
20260715_玉野_4R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,4,400,47.9,30.6258,Ａ級準決勝,1625,4,12:01,11:58,曇,2.2
20260715_玉野_5R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,5,400,47.9,30.6258,Ａ級準決勝,1625,4,12:28,12:25,曇,2.2
20260715_玉野_6R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,6,400,47.9,30.6258,Ｓ級一般,2025,5,12:55,12:52,曇,2.2
20260715_玉野_7R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,7,400,47.9,30.6258,Ｓ級一般,2025,5,13:23,13:20,曇,2.7
20260715_玉野_8R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,8,400,47.9,30.6258,Ｓ級選抜,2025,5,13:53,13:50,晴,2.7
20260715_玉野_9R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,9,400,47.9,30.6258,Ｓ級選抜,2025,5,14:23,14:20,晴,2.7
20260715_玉野_10R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,10,400,47.9,30.6258,Ｓ級準決勝,2025,5,14:53,14:50,晴,2.7
20260715_玉野_11R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,11,400,47.9,30.6258,Ｓ級準決勝,2025,5,15:25,15:22,晴,3.1
20260715_玉野_12R,20260715,61,玉野,ＣＴＣ杯＆スピチャン杯,F1,12,400,47.9,30.6258,Ｓ級準決勝,2025,5,15:57,15:54,晴,2.2
20260715_広島_1R,20260715,62,広島,前検日コメならウィンチケット杯,F2,1,400,57.9,32.5278,Ｌ級ガ一般,1615,4,20:40,20:37,曇,0.7
20260715_広島_2R,20260715,62,広島,前検日コメならウィンチケット杯,F2,2,400,57.9,32.5278,Ａ級一般,1615,4,21:00,20:57,曇,0.5
20260715_広島_3R,20260715,62,広島,前検日コメならウィンチケット杯,F2,3,400,57.9,32.5278,Ａ級一般,1615,4,21:20,21:17,曇,1.8
20260715_広島_4R,20260715,62,広島,前検日コメならウィンチケット杯,F2,4,400,57.9,32.5278,Ａ級一般,1615,4,21:40,21:37,曇,0.9
20260715_広島_5R,20260715,62,広島,前検日コメならウィンチケット杯,F2,5,400,57.9,32.5278,Ａ級特選,1615,4,22:00,21:57,曇,1.5
20260715_広島_6R,20260715,62,広島,前検日コメならウィンチケット杯,F2,6,400,57.9,32.5278,Ａ級特選,1615,4,22:20,22:17,曇,1.3
20260715_広島_7R,20260715,62,広島,前検日コメならウィンチケット杯,F2,7,400,57.9,32.5278,Ａ級特選,1615,4,22:40,22:37,曇,0.8
20260715_広島_8R,20260715,62,広島,前検日コメならウィンチケット杯,F2,8,400,57.9,32.5278,Ｌ級ガ決勝,1615,4,23:00,22:57,曇,1.1
20260715_広島_9R,20260715,62,広島,前検日コメならウィンチケット杯,F2,9,400,57.9,32.5278,Ａ級決勝,1615,4,23:20,23:17,曇,1.2
20260715_佐世保_1R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,1,400,40.2,31.4769,Ａ級一般,1625,4,16:04,16:01,雨,1.5
20260715_佐世保_2R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,2,400,40.2,31.4769,Ａ級一般,1625,4,16:26,16:23,曇,1.0
20260715_佐世保_3R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,3,400,40.2,31.4769,Ａ級特選,1625,4,16:48,16:45,曇,1.0
20260715_佐世保_4R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,4,400,40.2,31.4769,Ａ級特選,1625,4,17:12,17:09,曇,1.0
20260715_佐世保_5R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,5,400,40.2,31.4769,Ｌ級ガ一般,1625,4,17:36,17:33,曇,1.0
20260715_佐世保_6R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,6,400,40.2,31.4769,Ｓ級一般,2025,5,18:00,17:57,曇,1.0
20260715_佐世保_7R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,7,400,40.2,31.4769,Ｓ級一般,2025,5,18:24,18:21,曇,1.0
20260715_佐世保_8R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,8,400,40.2,31.4769,Ｓ級特選,2025,5,18:48,18:45,曇,1.0
20260715_佐世保_9R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,9,400,40.2,31.4769,Ｓ級特選,2025,5,19:12,19:09,曇,1.0
20260715_佐世保_10R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,10,400,40.2,31.4769,Ｌ級ガ決勝,1625,4,19:38,19:35,曇,1.0
20260715_佐世保_11R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,11,400,40.2,31.4769,Ａ級決勝,1625,4,20:04,20:01,曇,1.0
20260715_佐世保_12R,20260715,85,佐世保,仲間と繋がるＴＩＰＳＴＡＲ杯,F1,12,400,40.2,31.4769,Ｓ級決勝,2025,5,20:30,20:27,曇,0.5
20260715_熊本_1R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,1,400,60.3,34.2581,Ａ級チ一般,1625,4,08:30,08:27,曇,1.5
20260715_熊本_2R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,2,400,60.3,34.2581,Ａ級チ一般,1625,4,08:50,08:47,曇,1.5
20260715_熊本_3R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,3,400,60.3,34.2581,Ａ級チ一般,1625,4,09:10,09:07,曇,1.5
20260715_熊本_4R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,4,400,60.3,34.2581,Ａ級チ選抜,1625,4,09:30,09:27,曇,2.0
20260715_熊本_5R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,5,400,60.3,34.2581,Ａ級チ選抜,1625,4,09:50,09:47,曇,2.5
20260715_熊本_6R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,6,400,60.3,34.2581,Ａ級チ選抜,1625,4,10:10,10:07,曇,2.5
20260715_熊本_7R,20260715,87,熊本,ＣＴＣなら３分前まで買える杯,F2,7,400,60.3,34.2581,Ａ級チ決勝,1625,4,10:30,10:27,曇,2.5
